id,altura,cidade,cpf,estado,idade,nome,peso,sexo,signo,profissao,renda,tempo_carteira_assinada,estado_civil,score,inadimplente
57,1.64,Limeira,059.263.690-96,SP,63,Márcia Pietra Nicole Ribeiro,62,Feminino,Sagitário,Caixa de banco,1512,31,Divorciado,621,0
58,1.82,Divinópolis,945.392.197-15,MG,32,Pietro Victor Diego da Silva,66,Masculino,Gêmeos,Atendente de pedágio,1170,55,Viúvo,831,0
59,1.78,Brasília,605.354.497-39,DF,76,Louise Sabrina Jesus,89,Feminino,Aquário,Encarregado de supermercado,3391,59,Solteiro,877,0
60,1.75,Aracaju,104.235.536-31,SE,73,Yasmin Cecília Flávia Dias,53,Feminino,Gêmeos,Demonstrador de mercadorias,1170,13,Casado,543,0
61,1.99,Ananindeua,620.351.937-53,PA,77,Iago Severino da Mata,55,Masculino,Leão,Borracheiro,1584,8,Casado,453,0
62,1.51,Macapá,855.725.904-28,AP,72,Malu Clarice Alana Rezende,54,Feminino,Libra,Encarregado de supermercado,3472,57,Viúvo,301,1
63,1.71,Curitiba,295.059.534-02,PR,28,Luís Eduardo Rodrigo da Silva,109,Masculino,Escorpião,Trabalhador de serviços de limpeza,1433,50,Viúvo,642,0
64,1.5,Paulo Afonso,655.308.081-07,BA,53,Adriana Jennifer Alícia Galvão,46,Feminino,Libra,Alinhador de rodas,1249,12,Solteiro,688,0
65,1.66,Várzea Grande,438.862.652-00,MT,75,Pietro Marcelo Gustavo Souza,83,Masculino,Capricórnio,Jardineiro,1000,31,Solteiro,521,0
67,1.85,Colatina,565.872.546-16,ES,79,Giovana Elisa Monteiro,78,Feminino,Câncer,Auxiliar de manutenção elétrica e hidráulica,1682,56,Casado,691,0
68,1.75,Brasília,577.141.697-53,DF,33,Paulo Juan Alves,56,Masculino,Câncer,Abanador na agricultura,1241,53,Divorciado,232,1
69,1.67,Dourados,997.073.186-60,MS,22,Antônia Luzia Gonçalves,48,Feminino,Aquário,Analista de Desenvolvimento Humano Organizacional,3288,50,Divorciado,835,0
70,1.98,Cuiabá,418.047.065-90,MT,51,Sebastião Anderson Silva,62,Masculino,Câncer,Administrador no comércio de mercadorias,1936,55,Divorciado,772,0
71,1.77,Santa Rita,311.070.289-49,PB,55,Isadora Olivia Malu Caldeira,87,Feminino,Leão,Analista de suporte computacional,2497,43,Casado,380,1
72,1.82,Natal,620.856.225-26,RN,22,Agatha Isabela Daniela Ferreira,64,Feminino,Câncer,Demonstrador de mercadorias,1170,34,Casado,358,1
73,1.92,Salvador,087.433.638-49,BA,46,Ruan Cauê Nunes,83,Masculino,Áries,Auxiliar de serviço de copa,1322,34,Casado,232,1
74,1.58,Londrina,459.138.166-84,PR,30,Daniela Maria Pinto,53,Feminino,Gêmeos,Calculista de produção,3272,11,Solteiro,241,1
75,1.95,Londrina,713.287.887-50,PR,42,Benjamin Nelson Jorge Souza,105,Masculino,Escorpião,Farmacêutico,3402,36,Casado,999,0
76,1.99,São Mateus,735.204.760-37,ES,71,Cauã Breno Costa,80,Masculino,Virgem,Conferente de carga e descarga,1867,26,Viúvo,368,1
77,1.69,Rio de Janeiro,550.078.845-02,RJ,27,Daniela Luiza Corte Real,71,Feminino,Touro,Arador,1485,47,Divorciado,608,0
78,1.78,Terra Roxa,714.318.476-40,PR,75,Clara Lúcia das Neves,74,Feminino,Leão,Gerente de armazém,3532,55,Viúvo,303,1
79,1.8,Campinas,821.470.298-40,SP,21,Juan Francisco Benício Assunção,70,Masculino,Aquário,Promotor de vendas especializado,1522,28,Casado,120,1
80,1.68,Blumenau,068.907.862-54,SC,24,Isabelly Cecília Laís Almeida,66,Feminino,Escorpião,Administrador de contadorias e registros fiscais,3984,24,Casado,731,0
81,1.88,Boa Vista,163.477.672-01,RR,30,Luan Arthur da Mota,96,Masculino,Touro,Ajudante de pintor,1922,19,Solteiro,441,1
82,1.8,Belém,954.800.829-73,PA,79,Priscila Isabela Pires,70,Feminino,Touro,Assistente de prevenção de perdas,1544,57,Solteiro,755,0
83,1.64,Arapiraca,793.748.380-60,AL,24,Carolina Nair Tatiane Figueiredo,72,Feminino,Libra,Auxiliar de torneiro mecânico,2260,42,Divorciado,514,1
84,1.96,Rio de Janeiro,315.543.625-55,RJ,37,André Pietro Assis,101,Masculino,Gêmeos,Operador de suporte técnico,1447,44,Casado,747,0
85,1.8,Belo Horizonte,937.531.024-82,MG,32,Cláudia Patrícia Alessandra Moreira,74,Feminino,Câncer,Promotor de vendas,1410,51,Divorciado,552,1
86,1.76,Bauru,417.684.437-00,SP,70,Marli Marcela Fogaça,56,Feminino,Aquário,Eletricista,1722,13,Casado,495,0
87,1.64,Boa Vista,936.130.761-44,RR,58,Roberto Gustavo Elias Ramos,51,Masculino,Gêmeos,Armador de estrutura de concreto,1506,16,Divorciado,513,1
88,1.79,São Luís,663.620.508-35,MA,58,Emanuelly Sônia Regina Teixeira,55,Feminino,Libra,Atendente de agência,2148,11,Solteiro,410,1
89,1.72,Manaus,014.124.421-68,AM,35,Nina Luciana Fernandes,84,Feminino,Leão,Farmacêutico,3506,48,Divorciado,248,1
90,1.73,Aracaju,171.543.029-84,SE,68,Valentina Alícia Luiza Ramos,46,Feminino,Câncer,Enfermeiro,4231,6,Divorciado,491,0
91,1.72,Luziânia,080.120.893-94,GO,21,Carolina Antônia Figueiredo,58,Feminino,Touro,Gesseiro,1923,6,Solteiro,478,1
92,1.98,Altamira,837.927.143-29,PA,51,Bento João Bryan Oliveira,75,Masculino,Áries,Carapina,1858,29,Viúvo,103,1
94,1.74,Olinda,030.829.460-20,PE,58,Lorena Isabel Raquel Caldeira,83,Feminino,Peixes,Advogado,5076,58,Viúvo,823,0
95,1.82,Cachoeirinha,690.294.485-71,RS,65,Eduardo Tiago Oliveira,75,Masculino,Gêmeos,Atendente balconista,1527,13,Solteiro,315,1
96,1.52,Rio Branco,549.170.174-24,AC,56,Isabelle Andrea da Costa,64,Feminino,Aquário,Instalador de aparelhos telefônicos,1302,13,Viúvo,371,1
97,1.63,São Luís,244.494.707-02,MA,36,Yago Raimundo Manuel da Mota,81,Masculino,Peixes,Operador de centro de processamento de dados,2115,56,Solteiro,312,1
98,1.83,Palmas,179.902.276-57,TO,53,Benedita Mirella Galvão,67,Feminino,Áries,Administrador de refeitório,2069,17,Viúvo,186,1
99,1.63,Campo Grande,417.487.806-46,MS,38,Luzia Maya Renata Assunção,68,Feminino,Leão,Operador de estufas mecânicas,1520,16,Casado,712,0
100,1.68,Rondonópolis,624.602.543-93,MT,52,Roberto Martin Carvalho,51,Masculino,Libra,Ajudante de embalador,1111,4,Solteiro,593,0
101,1.74,Natal,859.885.203-16,RN,66,Emily Alice Teixeira,65,Feminino,Câncer,Auxiliar de coordenação de ensino fundamental,2505,51,Casado,454,0
102,1.74,Tucuruí,340.054.654-20,PA,63,Tatiane Fernanda Araújo,89,Feminino,Gêmeos,Condutor de veículo de carga,2001,50,Divorciado,827,0
104,1.73,Passos,250.085.564-36,MG,50,Maria Louise da Luz,48,Feminino,Libra,Abatedor,1300,41,Divorciado,691,0
105,1.85,Manaus,848.770.679-73,AM,57,Mário Rodrigo Sérgio Dias,96,Masculino,Peixes,Condutor de escavadeira,2013,1,Solteiro,189,1
106,1.89,Manaus,454.371.874-75,AM,38,Noah Rafael Figueiredo,83,Masculino,Peixes,Colhedor de cana de açúcar,1284,31,Viúvo,577,0
107,1.58,Boa Vista,419.116.961-06,RR,76,Gabrielly Sueli Corte Real,48,Feminino,Libra,Professor de creche,2182,55,Divorciado,981,0
